Berlin,Germany,Berlin U-Bahn,1902,2021,175,147.8 km (91.8 mi),492.1 (2022)
Hamburg,Germany,Hamburg U-Bahn,1912,2019,93,105.8 km (65.7 mi),163.4 (2020)
Munich,Germany,Munich U-Bahn,1971,2010,96,95 km (59 mi),254 (2021)
Nuremberg,Germany,Nuremberg U-Bahn,1972,2020,49,38.2 km (23.7 mi),71.8 (2021)
Athens,Greece,Athens Metro,1904,2022,66,91.7 km (57.0 mi),259.2 (2018)
Budapest,Hungary,Budapest Metro,1896,2014,48,38.2 km (23.7 mi),211.6 (2021)
Ahmedabad,India,Ahmedabad Metro,2019,2022,31,37.86 km (23.53 mi),0.4 (2021)
Bangalore,India,Namma Metro,2011,2023,63,68.6 km (42.6 mi),174.22 (2020)
Chennai,India,Chennai Metro,2015,2021,42,54 km (34 mi),42 (2021)
Delhi,India,Delhi Metro,2002,2022,230,348.12 km (216.31 mi),"1,790 (2019)"
Gurgaon,India,Rapid Metro Gurgaon,2013,2017,11,12.8 km (8.0 mi),18.3 (2018)
Hyderabad,India,Hyderabad Metro,2017,2020,56,69 km (43 mi),173 (2021)
Jaipur,India,Jaipur Metro,2015,2020,11,12.0 km (7.5 mi),7 (2021)
Kanpur,India,Kanpur Metro,2021,–,9,8.98 km (5.58 mi),-
Kochi,India,Kochi Metro,2017,2022,24,27.4 km (17.0 mi),17 (2021)
Kolkata,India,Kolkata Metro,1984,2022,40,46.96 km (29.18 mi),256 (2021)
Lucknow,India,Lucknow Metro,2017,2019,21,22.87 km (14.21 mi),22 (2021)
Mumbai,India,Mumbai Metro,2014,2023,40,46.4 km (28.8 mi),126 (2021)
Nagpur,India,Nagpur Metro,2019,2022,36,38.2 km (23.7 mi),4 (2021)
Noida,India,Noida Metro,2019,–,21,29.7 km (18.5 mi),5 (2021)
Pune,India,Pune Metro,2022,–,10,12 km (7.5 mi),-
Jakarta,Indonesia,Jakarta MRT,2019,–,13,15.7 km (9.8 mi),19.7 (2022)
Isfahan,Iran,Isfahan Urban Railway,2015,2018,20,20.2 km (12.6 mi),-
Mashhad,Iran,Mashhad Urban Railway,2011,2019,35,37.5 km (23.3 mi),50.7(2018)
Shiraz,Iran,Shiraz Metro,2014,2023,22,32.5 km (20.2 mi),18 (2018)
